purchase_id,user_ID,shipment_id,carrier,tracking_number,estimated_delivery,shipping_cost_usd,delivery_status
PRCH-9003,1003,SHP-5001,FedEx Mexico,1234567890,2026-01-17,18.20,Delivered
PRCH-9004,1004,SHP-5002,Paquetexpress,1Z999AA10123456785,2026-01-16,5.00,Delivered
PRCH-9005,1005,SHP-5003,Estafeta,1Z999AA10123456786,2026-01-18,9.99,Delivered
PRCH-9006,1006,SHP-5004,DHL Mexico,2345678901,2026-01-20,15.00,Delivered
PRCH-9010,1010,SHP-5005,DHL Mexico,3456789012,2026-01-23,14.20,In Transit
PRCH-9011,1011,SHP-5006,Paquetexpress,1Z999AA10123456788,2026-01-22,7.99,Delivered
PRCH-9013,1013,SHP-5007,Estafeta,1Z999AA10123456789,2026-01-25,11.00,In Transit
PRCH-9014,1014,SHP-5008,Castores,RM987654321MX,2026-01-26,4.50,In Transit
PRCH-9016,1016,SHP-5009,Estafeta,1Z999AA10123456791,2026-01-27,10.00,Processing
PRCH-9020,1020,SHP-5010,Paquetexpress,1Z999AA10123456793,2026-01-31,5.00,Pending
