purchase_id,user_ID,purchase_timestamp,products,quantities,unit_prices_usd,subtotals_usd,total_price_usd,payment_method,fulfillment_type
PRCH-9001,1001,2026-01-10 14:22:10,Vacunas y Biológicos|Jeringas Quirúrgicas,10|2,25.00|12.50,250.00|25.00,275.00,Credit Card,Store Pick-up
PRCH-9002,1002,2026-01-11 09:15:43,Gasa Quirúrgica|Solución Antiséptica,3|1,15.00|18.50,45.00|18.50,63.50,PayPal,Store Pick-up
PRCH-9003,1003,2026-01-11 18:04:12,Prueba Rápida de Diagnóstico,1,89.00,89.00,89.00,Debit Card,Home Delivery
PRCH-9004,1004,2026-01-12 11:45:00,Pomada Antibiótica|Vendajes,2|5,15.00|4.00,30.00|20.00,50.00,Credit Card,Home Delivery
PRCH-9005,1005,2026-01-13 16:30:21,Otoscopio Digital,1,120.00,120.00,120.00,Apple Pay,Home Delivery
PRCH-9006,1006,2026-01-14 08:05:55,Tijeras de Peluquería|Cortaúñas,2|2,20.00|12.50,40.00|25.00,65.00,Credit Card,Home Delivery
PRCH-9007,1007,2026-01-14 20:12:34,Alimento Clónico Dieta Renal,1,45.00,45.00,45.00,PayPal,Store Pick-up
PRCH-9008,1008,2026-01-15 13:50:09,Campos Quirúrgicos|Hojas de Bisturí,2|10,35.00|1.50,70.00|15.00,85.00,Credit Card,Store Pick-up
PRCH-9009,1009,2026-01-16 10:22:18,Escáner de Ultrasonido Portátil,1,850.00,850.00,850.00,Bank Transfer,Store Pick-up
PRCH-9010,1010,2026-01-17 15:11:40,Tiras de Glucosa en Sangre,2,35.50,71.00,71.00,Credit Card,Home Delivery
PRCH-9011,1011,2026-01-18 17:40:02,Tabletas Desparasitantes,3,10.00,30.00,30.00,PayPal,Home Delivery
PRCH-9012,1012,2026-01-19 12:01:15,Paquete Agujas de Sutura|Catéteres IV,1|4,45.00|8.25,45.00|33.00,78.00,Credit Card,Store Pick-up
PRCH-9013,1013,2026-01-20 09:33:50,Vacunas Antirrábicas|Paquete de Jeringas,2|2,90.00|9.50,180.00|19.00,199.00,Apple Pay,Home Delivery
PRCH-9014,1014,2026-01-20 21:14:03,Gotas Antiinflamatorias,5,9.99,49.95,49.95,Debit Card,Home Delivery
PRCH-9015,1015,2026-01-21 14:08:27,Rasuradora Profesional Mascotas,1,64.00,64.00,64.00,Credit Card,Store Pick-up
PRCH-9016,1016,2026-01-22 11:29:44,Alimento Perro Hipoalergénico,2,55.00,110.00,110.00,PayPal,Home Delivery
PRCH-9017,1017,2026-01-23 19:05:11,Kits Prueba FeLV/FIV Felina,1,150.00,150.00,150.00,Credit Card,Store Pick-up
PRCH-9018,1018,2026-01-24 10:48:30,Pipetas Antipulgas y Garrapatas,1,42.50,42.50,42.50,Credit Card,Store Pick-up
PRCH-9019,1019,2026-01-25 16:17:52,Caja Guantes Quirúrgicos|Caja Mascarillas,2|1,20.00|12.00,40.00|12.00,52.00,Apple Pay,Store Pick-up
PRCH-9020,1020,2026-01-26 13:00:01,Solución Limpiadora de Oídos,2,11.00,22.00,22.00,PayPal,Home Delivery
